
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
00:1E:8F:CC:C3:D0, 2018-02-22 06:59:09, 2018-02-22 06:59:13, -74,        3, (not associated) ,chemistify
12:AD:03:40:C6:A0, 2018-02-22 06:59:09, 2018-02-22 06:59:14, -70,        2, 00:25:00:FF:94:73,
06:96:61:63:C1:3A, 2018-02-22 06:59:09, 2018-02-22 06:59:14, -66,        3, 00:25:00:FF:94:73,
18:EE:69:23:C6:FD, 2018-02-22 06:59:09, 2018-02-22 06:59:14, -66,       10, 90:48:9A:EB:0F:5F,
6C:94:F8:E4:01:89, 2018-02-22 06:59:09, 2018-02-22 06:59:14, -68,        4, 00:1D:D6:DA:62:30,
82:68:4A:E6:A7:67, 2018-02-22 06:59:09, 2018-02-22 06:59:14, -68,        3, 00:25:00:FF:94:73,
E2:8A:DC:A3:EA:E6, 2018-02-22 06:59:09, 2018-02-22 06:59:14, -68,        3, 00:25:00:FF:94:73,
18:EE:69:02:34:91, 2018-02-22 06:59:09, 2018-02-22 06:59:13, -70,        5, 00:1D:D6:DA:62:30,
3A:44:29:5D:FB:CC, 2018-02-22 06:59:09, 2018-02-22 06:59:14, -48,        3, 00:25:00:FF:94:73,
68:64:4B:44:AC:5E, 2018-02-22 06:59:05, 2018-02-22 06:59:15, -46,      139, A8:6B:AD:F8:B9:56,
F6:EC:06:D7:90:9A, 2018-02-22 06:59:10, 2018-02-22 06:59:15, -48,        6, 00:25:00:FF:94:73,
6C:56:97:8C:A2:0D, 2018-02-22 06:59:10, 2018-02-22 06:59:10, -44,        1, A8:6B:AD:F8:B9:56,
7C:50:49:27:33:E3, 2018-02-22 06:59:11, 2018-02-22 06:59:11, -18,        4, 08:95:2A:6E:18:B8,
A0:C9:A0:8A:D8:E3, 2018-02-22 06:59:11, 2018-02-22 06:59:11, -72,        1, (not associated) ,
CA:CD:85:21:94:F8, 2018-02-22 06:59:14, 2018-02-22 06:59:14, -70,        2, 00:25:00:FF:94:73,
B2:0D:0D:F1:88:52, 2018-02-22 06:59:14, 2018-02-22 06:59:14, -66,        2, 00:25:00:FF:94:73,

