
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
90:48:9A:EB:0F:5F, 2018-02-22 06:58:07, 2018-02-22 06:58:09,  5,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
14:CF:E2:89:EF:C0, 2018-02-22 06:58:08, 2018-02-22 06:58:08, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:25:00:FF:94:73, 2018-02-22 06:58:08, 2018-02-22 06:58:13, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
90:1A:CA:5D:9C:F0, 2018-02-22 06:58:12, 2018-02-22 06:58:13,  6,  54, WPA2, CCMP,PSK, -69,        2,        0,   0.  0.  0.  0,   9, DG1670AF2, 
48:BA:4E:0C:27:EF, 2018-02-22 06:58:12, 2018-02-22 06:58:12,  6,  54, WPA2, CCMP,PSK, -64,        1,        0,   0.  0.  0.  0,  32, DIRECT-EE-HP DeskJet 2600 series, 
B0:C2:87:BF:2C:BC, 2018-02-22 06:58:13, 2018-02-22 06:58:13,  1,  54, WPA2, CCMP,PSK, -60,        1,        0,   0.  0.  0.  0,  10, Hilgard416, 
B0:C2:87:BE:85:76, 2018-02-22 06:58:13, 2018-02-22 06:58:13,  1,  54, WPA2, CCMP,PSK, -58,        1,        0,   0.  0.  0.  0,  10, Hilgard216, 
48:00:33:E2:BD:8B, 2018-02-22 06:58:13, 2018-02-22 06:58:13,  1,  -1, , ,   , -72,        0,        0,   0.  0.  0.  0,   0, , 
10:7B:44:5B:81:B0, 2018-02-22 06:58:13, 2018-02-22 06:58:13,  1,  54, WPA2, CCMP,PSK, -64,        1,        0,   0.  0.  0.  0,   8, Leo_2GHz, 
10:DA:43:49:2C:7C, 2018-02-22 06:58:13, 2018-02-22 06:58:13,  1,  54, WPA2, CCMP,PSK, -54,        1,        0,   0.  0.  0.  0,   8, That Guy, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
6C:94:F8:E4:01:89, 2018-02-22 06:58:08, 2018-02-22 06:58:08, -68,        2, 00:1D:D6:DA:62:30,
18:EE:69:02:34:91, 2018-02-22 06:58:08, 2018-02-22 06:58:08, -68,        2, 00:1D:D6:DA:62:30,
E2:8A:DC:A3:EA:E6, 2018-02-22 06:58:08, 2018-02-22 06:58:13, -68,        3, 00:25:00:FF:94:73,
B4:AE:2B:DB:31:A7, 2018-02-22 06:58:06, 2018-02-22 06:58:06, -60,        4, C0:25:E9:AA:7E:B6,
20:EE:28:4F:4A:3E, 2018-02-22 06:58:07, 2018-02-22 06:58:07, -60,        2, 70:56:81:A0:7C:59,
18:EE:69:23:C6:FD, 2018-02-22 06:58:07, 2018-02-22 06:58:09, -54,        6, 90:48:9A:EB:0F:5F,
3A:44:29:5D:FB:CC, 2018-02-22 06:58:08, 2018-02-22 06:58:13, -44,        4, 00:25:00:FF:94:73,
F6:EC:06:D7:90:9A, 2018-02-22 06:58:08, 2018-02-22 06:58:13, -46,        6, 00:25:00:FF:94:73,
68:64:4B:44:AC:5E, 2018-02-22 06:58:09, 2018-02-22 06:58:13, -46,       40, A8:6B:AD:F8:B9:56,
7C:50:49:27:33:E3, 2018-02-22 06:58:05, 2018-02-22 06:58:09, -16,        6, 08:95:2A:6E:18:B8,
AC:D1:B8:D7:FF:87, 2018-02-22 06:58:09, 2018-02-22 06:58:09,  -1,        2, 94:10:3E:14:80:B1,
F4:F5:D8:A4:7B:D4, 2018-02-22 06:58:09, 2018-02-22 06:58:09,  -1,        2, 08:95:2A:6E:18:B8,
C4:B3:01:BA:76:3D, 2018-02-22 06:58:10, 2018-02-22 06:58:10, -26,        1, 08:95:2A:6E:18:B8,
C4:B3:01:C0:D7:55, 2018-02-22 06:58:10, 2018-02-22 06:58:10, -22,        1, 08:95:2A:6E:18:B8,
18:B4:30:59:94:33, 2018-02-22 06:58:11, 2018-02-22 06:58:11, -76,        1, (not associated) ,
78:4F:43:77:AB:21, 2018-02-22 06:58:12, 2018-02-22 06:58:12, -58,        2, (not associated) ,
D2:CC:EC:D5:0C:89, 2018-02-22 06:58:12, 2018-02-22 06:58:12, -70,        2, 00:25:00:FF:94:73,
CA:CD:85:21:94:F8, 2018-02-22 06:58:12, 2018-02-22 06:58:12, -70,        2, 00:25:00:FF:94:73,
06:96:61:63:C1:3A, 2018-02-22 06:58:12, 2018-02-22 06:58:12, -68,        1, 00:25:00:FF:94:73,
AE:DD:FA:66:4D:95, 2018-02-22 06:58:12, 2018-02-22 06:58:12, -68,        1, 00:25:00:FF:94:73,
82:68:4A:E6:A7:67, 2018-02-22 06:58:12, 2018-02-22 06:58:12, -74,        1, 00:25:00:FF:94:73,

